id,cn,en,jp,tw
gameTrash_1_1,啊，好忙好忙，生意太好也会有烦恼啊……诶？！快来帮我一把，之后会有“时之沙特别商品”做报酬哦！,"It's so busy around here! Even when business is good, it's still a bother. Hey! Help me out and I'll reward you with a ""Sands of Time Surprise"" later!",あーっ、忙しい忙しいっ！忙しすぎるのも考えものだわ……って！早く手伝ってよ、「時の砂スペシャルアイテム」をあげるから！,啊，好忙好忙，生意太好也會有煩惱啊……誒？！快來幫我一把，之後會有“時之沙特別商品”做報酬哦！
gameTrash_1_2,呜哇！大家别挤！虽说是打折，但也要有序排队呀！快来搭把手！你不是很想要那个半自动工作台吗！我之后会跳楼价卖你啦！ ,"Woah! There's no need to rush! Even when there's a sale, you must still queue up! Is that you? Help me out and I'll sell you that workbench at a discount!",きゃーっ、みんな押さないで！割引してるって言っても、並んで貰わなきゃ困るわ！来て、手を貸して欲しいの。半自動式の作業台が欲しいんでしょ？出血大サービスで売ってあげるから！,嗚哇！大家別擠！雖說是打折，但也要有序排隊呀！快來搭把手！你不是很想要那個半自動工作臺嗎！我之後會跳樓價賣你啦！
gameTrash_1_3,救救我……客人们已经快把“时之沙”的门挤爆了，我自己实在是撑不下去啦！,Help me out... The "Sands of Time" is overflowing with guests and I'm almost at my limit!,たすけて……お客さん達が「時の砂」の入り口に押し寄せてて……！もう抑えきれないのよ～！,救救我……客人們已經快把“時之沙”的門擠爆了，我自己實在是撐不下去啦！
gameTrash_2_1,噢哟？手脚蛮麻利的嘛，要不要来我这里做终身员工？工资高，福利足，而且还不加班哦！,"Oh? You seem to be quite proficient at this.. Want to join us as a permanent employee? I can offer you a high salary, work benefits, and no overtime! ",あらら？なかなかやるじゃない。よかったらずっとうちで働かない？お給料はいいし福利厚生も充実してるし、残業はゼロよ！,噢喲？手腳蠻麻利的嘛，要不要來我這裡做終身員工？工資高，福利足，而且還不加班哦！
gameTrash_2_2,嘿嘿，再加把劲，“时之沙”特别商品在向你招手哦~,"Looking good! , Those gifts from the ""Sands of Time"" are almost yours!",ふふっ、頑張ってね。「時の砂スペシャルアイテム」が待ってるわよ～！,嘿嘿，再加把勁，“時之沙”特別商品在向你招手哦~
gameTrash_2_3,新的装潢、新的分店，越来越多，嘿嘿……诶？！我、我....这是在算要给你多少额外奖金啦！,"More decorations, more shops, and more... I-It's nothing! I'm just going through the rewards for you!",新しい装飾に、2号店……どんどん増えていくわね、うふふ……えっ！？こ、これは……あなたへの臨時ボーナスを数えてただけよっ！,新的裝潢、新的分店，越來越多，嘿嘿……誒？！我、我....這是在算要給你多少額外獎金啦！
gameTrash_3_1,哎呀！你这么弄，钱……不是，客人都会跑掉的！,"Oh dear! If you keep this up, I'm going to lose all my customers!",ちょっと！そんな風にしたら、お金……じゃなくて、お客様がみんな逃げちゃうわよ！！,哎呀！你這麼弄，錢……不是，客人都會跑掉的！
gameTrash_3_2,这肯定不是你的真实销售实力，.再认真一点嘛，结束后真的会有惊喜大礼哦！,I believe you can do better than this! There's really a reward for you!,もっと本気出して売るのよ！終わったら本当にサプライズプレゼントがあるんだから！,這肯定不是你的真實銷售實力，.再認真一點嘛，結束後真的會有驚喜大禮哦！
gameTrash_4_1,客人又跑了，我的分店……好啦！打起精神，可不要再怠慢后面的客人了,The customers have left again... Alright! Pay attention and don't forget about the customers at the back!,お客様がまた行っちゃった……私の2号店が……よし！気を取り直して、次のお客様にしっかり接客していきましょ！,客人又跑了，我的分店……好啦！打起精神，可不要再怠慢後面的客人了
account_forbiden,您的账号已被封号，请联系客服,"Your account has been suspended, please contact customer service.",アカウントが停止されました。カスタマーサービスに連絡してください。,您的帳號已被封鎖，請聯繫客服。
